domain,feature_id,feature_name,product,support_status,masterscript_status,gap_type,severity,confidence,actionable_gap,by_design,dependency,evidence_source,evidence_note,measurable_points_count
Planning,planning.story_templates,Story structure templates,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/lib/planningTemplates.ts (Three Act, Hero's Journey, Eight Sequence) | src/App.tsx (template apply actions)",0
Planning,planning.story_templates,Story structure templates,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/lib/planningTemplates.ts (Three Act, Hero's Journey, Eight Sequence) | src/App.tsx (template apply actions)",0
Production,production.schedule_crud,Production schedule CRUD,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/App.tsx (addScheduleEntry, updateScheduleEntry, removeScheduleEntry)",0
Production,production.schedule_crud,Production schedule CRUD,Kit Scenarist,not_evident,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/App.tsx (addScheduleEntry, updateScheduleEntry, removeScheduleEntry)",0
Production,production.schedule_crud,Production schedule CRUD,Final Draft,partial,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/App.tsx (addScheduleEntry, updateScheduleEntry, removeScheduleEntry)",0
Production,production.day_out_of_days,Day-out-of-days report generation,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/screenplay.ts (buildDayOutOfDaysReport) | src/App.tsx (exportDayOutOfDays action),0
Production,production.day_out_of_days,Day-out-of-days report generation,Kit Scenarist,not_evident,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/screenplay.ts (buildDayOutOfDaysReport) | src/App.tsx (exportDayOutOfDays action),0
Production,production.day_out_of_days,Day-out-of-days report generation,Final Draft,partial,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/screenplay.ts (buildDayOutOfDaysReport) | src/App.tsx (exportDayOutOfDays action),0
ImportExport,io.fountain_export,Fountain export,Celtx,partial,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/screenplay.ts (toFountain) | src/App.tsx (export action),0
ImportExport,io.fountain_export,Fountain export,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/screenplay.ts (toFountain) | src/App.tsx (export action),0
ImportExport,io.fountain_export,Fountain export,Final Draft,partial,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/screenplay.ts (toFountain) | src/App.tsx (export action),0
ImportExport,io.fdx_basic_roundtrip,Basic FDX import and export,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/adapters/fdx.ts | src/lib/adapters.test.ts,0
ImportExport,io.fdx_basic_roundtrip,Basic FDX import and export,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/adapters/fdx.ts | src/lib/adapters.test.ts,0
ImportExport,io.fdx_basic_roundtrip,Basic FDX import and export,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/adapters/fdx.ts | src/lib/adapters.test.ts,0
ImportExport,io.docx_basic_roundtrip,Basic DOCX import and export,Celtx,partial,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/adapters/docx.ts | src/lib/adapters.test.ts,0
ImportExport,io.docx_basic_roundtrip,Basic DOCX import and export,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/adapters/docx.ts | src/lib/adapters.test.ts,0
ImportExport,io.docx_basic_roundtrip,Basic DOCX import and export,Final Draft,partial,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/adapters/docx.ts | src/lib/adapters.test.ts,0
Persistence,persistence.local_autosave,Local autosave and restore,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/App.tsx (autosave state and restore) | electron/main.cjs (project:autosave handler),0
Persistence,persistence.local_autosave,Local autosave and restore,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/App.tsx (autosave state and restore) | electron/main.cjs (project:autosave handler),0
Persistence,persistence.local_autosave,Local autosave and restore,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/App.tsx (autosave state and restore) | electron/main.cjs (project:autosave handler),0
Revision,revision.color_marks,Revision color markings,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/types/screenplay.ts (RevisionColor, revisionColors) | src/App.tsx (setBlockRevision, clearRevisionColor)",0
Revision,revision.color_marks,Revision color markings,Kit Scenarist,partial,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/types/screenplay.ts (RevisionColor, revisionColors) | src/App.tsx (setBlockRevision, clearRevisionColor)",0
Revision,revision.color_marks,Revision color markings,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/types/screenplay.ts (RevisionColor, revisionColors) | src/App.tsx (setBlockRevision, clearRevisionColor)",0
Catalog,catalog.auto_detection,Automatic character and location detection,Celtx,supported,present,none,none,high,false,false,,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/screenplay.ts (detectCatalogEntries) | src/App.tsx (importDetectedCatalog),0
Catalog,catalog.auto_detection,Automatic character and location detection,Kit Scenarist,supported,present,none,none,high,false,false,,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/screenplay.ts (detectCatalogEntries) | src/App.tsx (importDetectedCatalog),0
Catalog,catalog.auto_detection,Automatic character and location detection,Final Draft,supported,present,none,none,high,false,false,,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/screenplay.ts (detectCatalogEntries) | src/App.tsx (importDetectedCatalog),0
Writing,writing.page_layout_preview,Page-aware screenplay preview,Celtx,supported,missing,missing,high,high,true,false,writing.block_editing,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/App.tsx (single-column editor rendering) | src/components (no page preview component),10
Writing,writing.page_layout_preview,Page-aware screenplay preview,Kit Scenarist,supported,missing,missing,high,high,true,false,writing.block_editing,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/App.tsx (single-column editor rendering) | src/components (no page preview component),10
Writing,writing.page_layout_preview,Page-aware screenplay preview,Final Draft,supported,missing,missing,high,high,true,false,writing.block_editing,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/App.tsx (single-column editor rendering) | src/components (no page preview component),10
Writing,writing.find_replace,Find and replace,Celtx,supported,missing,missing,high,high,true,false,writing.command_palette,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/components/CommandPalette.tsx (search only, no replace) | src/App.tsx (no replace action path)",10
Writing,writing.find_replace,Find and replace,Kit Scenarist,supported,missing,missing,high,high,true,false,writing.command_palette,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/components/CommandPalette.tsx (search only, no replace) | src/App.tsx (no replace action path)",10
Writing,writing.find_replace,Find and replace,Final Draft,supported,missing,missing,high,high,true,false,writing.command_palette,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/components/CommandPalette.tsx (search only, no replace) | src/App.tsx (no replace action path)",10
Writing,writing.scene_numbering,Automatic scene numbering,Celtx,supported,missing,missing,high,medium,true,false,writing.block_editing,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (SceneSummary has no persistent number) | src/lib/screenplay.ts (extractScenes without scene index persistence),10
Writing,writing.scene_numbering,Automatic scene numbering,Kit Scenarist,partial,missing,missing,high,medium,true,false,writing.block_editing,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (SceneSummary has no persistent number) | src/lib/screenplay.ts (extractScenes without scene index persistence),10
Writing,writing.scene_numbering,Automatic scene numbering,Final Draft,supported,missing,missing,high,medium,true,false,writing.block_editing,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (SceneSummary has no persistent number) | src/lib/screenplay.ts (extractScenes without scene index persistence),10
Writing,writing.character_autocomplete,Character autocomplete from cast list,Celtx,partial,missing,missing,medium,medium,true,false,catalog.auto_detection,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/App.tsx (character block editing has no suggestion source),10
Writing,writing.character_autocomplete,Character autocomplete from cast list,Kit Scenarist,partial,missing,missing,medium,medium,true,false,catalog.auto_detection,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/App.tsx (character block editing has no suggestion source),10
Writing,writing.character_autocomplete,Character autocomplete from cast list,Final Draft,supported,missing,missing,medium,medium,true,false,catalog.auto_detection,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/App.tsx (character block editing has no suggestion source),10
Production,production.call_sheet_generation,Call sheet generation,Celtx,supported,missing,missing,critical,high,true,false,production.schedule_crud|catalog.auto_detection,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (no call sheet model) | src/App.tsx (no call sheet generator/export action),10
Production,production.call_sheet_generation,Call sheet generation,Kit Scenarist,not_evident,missing,missing,critical,high,true,false,production.schedule_crud|catalog.auto_detection,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (no call sheet model) | src/App.tsx (no call sheet generator/export action),10
Production,production.call_sheet_generation,Call sheet generation,Final Draft,partial,missing,missing,critical,high,true,false,production.schedule_crud|catalog.auto_detection,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (no call sheet model) | src/App.tsx (no call sheet generator/export action),10
Production,production.props_equipment_extraction,Automatic props and equipment extraction,Celtx,supported,partial,incomplete,high,high,true,false,production.schedule_crud,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (BreakdownKind includes prop and equipment) | src/lib/screenplay.ts (generateProductionBreakdown currently extracts cast and location only),10
Production,production.props_equipment_extraction,Automatic props and equipment extraction,Kit Scenarist,partial,partial,incomplete,high,high,true,false,production.schedule_crud,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (BreakdownKind includes prop and equipment) | src/lib/screenplay.ts (generateProductionBreakdown currently extracts cast and location only),10
Production,production.props_equipment_extraction,Automatic props and equipment extraction,Final Draft,partial,partial,incomplete,high,high,true,false,production.schedule_crud,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (BreakdownKind includes prop and equipment) | src/lib/screenplay.ts (generateProductionBreakdown currently extracts cast and location only),10
Collaboration,collaboration.realtime_coauthoring,Real-time co-authoring,Celtx,supported,missing,missing,critical,high,true,false,persistence.cloud_sync,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,README.md (cloud sync intentionally out of scope) | src/types/screenplay.ts (no user/session collaborator model),10
Collaboration,collaboration.realtime_coauthoring,Real-time co-authoring,Kit Scenarist,supported,missing,missing,critical,high,true,false,persistence.cloud_sync,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,README.md (cloud sync intentionally out of scope) | src/types/screenplay.ts (no user/session collaborator model),10
Collaboration,collaboration.realtime_coauthoring,Real-time co-authoring,Final Draft,supported,missing,missing,critical,high,true,false,persistence.cloud_sync,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,README.md (cloud sync intentionally out of scope) | src/types/screenplay.ts (no user/session collaborator model),10
Collaboration,collaboration.comments_mentions,Inline comments and mentions,Celtx,supported,missing,missing,high,high,true,false,collaboration.realtime_coauthoring,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (no comment entity) | src/App.tsx (no comment UI),10
Collaboration,collaboration.comments_mentions,Inline comments and mentions,Kit Scenarist,partial,missing,missing,high,high,true,false,collaboration.realtime_coauthoring,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (no comment entity) | src/App.tsx (no comment UI),10
Collaboration,collaboration.comments_mentions,Inline comments and mentions,Final Draft,supported,missing,missing,high,high,true,false,collaboration.realtime_coauthoring,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (no comment entity) | src/App.tsx (no comment UI),10
Revision,revision.side_by_side_diff,Side-by-side revision diff,Celtx,partial,missing,missing,high,high,true,false,revision.snapshot_history,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/App.tsx (single-document view only) | src/types/screenplay.ts (no diff snapshot model),10
Revision,revision.side_by_side_diff,Side-by-side revision diff,Kit Scenarist,not_evident,missing,missing,high,high,true,false,revision.snapshot_history,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/App.tsx (single-document view only) | src/types/screenplay.ts (no diff snapshot model),10
Revision,revision.side_by_side_diff,Side-by-side revision diff,Final Draft,supported,missing,missing,high,high,true,false,revision.snapshot_history,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/App.tsx (single-document view only) | src/types/screenplay.ts (no diff snapshot model),10
Revision,revision.snapshot_history,Dated revision snapshot history,Celtx,supported,missing,missing,high,high,true,false,persistence.local_autosave,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/App.tsx (undo history only, no persisted snapshots) | src/types/screenplay.ts (no snapshot metadata)",10
Revision,revision.snapshot_history,Dated revision snapshot history,Kit Scenarist,supported,missing,missing,high,high,true,false,persistence.local_autosave,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/App.tsx (undo history only, no persisted snapshots) | src/types/screenplay.ts (no snapshot metadata)",10
Revision,revision.snapshot_history,Dated revision snapshot history,Final Draft,partial,missing,missing,high,high,true,false,persistence.local_autosave,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/App.tsx (undo history only, no persisted snapshots) | src/types/screenplay.ts (no snapshot metadata)",10
Reporting,reporting.analytics_dashboard,Script analytics dashboard,Celtx,partial,missing,missing,high,high,true,false,writing.block_editing,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/screenplay.ts (basic stats only) | src/App.tsx (no dashboard tab),10
Reporting,reporting.analytics_dashboard,Script analytics dashboard,Kit Scenarist,supported,missing,missing,high,high,true,false,writing.block_editing,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/screenplay.ts (basic stats only) | src/App.tsx (no dashboard tab),10
Reporting,reporting.analytics_dashboard,Script analytics dashboard,Final Draft,partial,missing,missing,high,high,true,false,writing.block_editing,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/screenplay.ts (basic stats only) | src/App.tsx (no dashboard tab),10
Reporting,reporting.character_dialogue_report,Character and dialogue reports,Celtx,partial,missing,missing,high,medium,true,false,catalog.auto_detection,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/screenplay.ts (no dialogue report utility) | src/App.tsx (no report export action for characters),10
Reporting,reporting.character_dialogue_report,Character and dialogue reports,Kit Scenarist,partial,missing,missing,high,medium,true,false,catalog.auto_detection,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/screenplay.ts (no dialogue report utility) | src/App.tsx (no report export action for characters),10
Reporting,reporting.character_dialogue_report,Character and dialogue reports,Final Draft,supported,missing,missing,high,medium,true,false,catalog.auto_detection,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/screenplay.ts (no dialogue report utility) | src/App.tsx (no report export action for characters),10
ImportExport,io.pdf_export,PDF export,Celtx,supported,missing,missing,critical,high,true,false,writing.page_layout_preview,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,package.json (no PDF generation dependency) | electron/main.cjs (no PDF export IPC handler),10
ImportExport,io.pdf_export,PDF export,Kit Scenarist,supported,missing,missing,critical,high,true,false,writing.page_layout_preview,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,package.json (no PDF generation dependency) | electron/main.cjs (no PDF export IPC handler),10
ImportExport,io.pdf_export,PDF export,Final Draft,supported,missing,missing,critical,high,true,false,writing.page_layout_preview,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,package.json (no PDF generation dependency) | electron/main.cjs (no PDF export IPC handler),10
ImportExport,io.docx_style_fidelity,DOCX style-fidelity roundtrip,Celtx,partial,partial,incomplete,high,high,true,false,io.docx_basic_roundtrip,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/lib/adapters/docx.ts (normalization to block-level only) | src/lib/adapters/normalize.ts (warning-oriented lossy mapping),10
ImportExport,io.docx_style_fidelity,DOCX style-fidelity roundtrip,Kit Scenarist,partial,partial,incomplete,high,high,true,false,io.docx_basic_roundtrip,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/lib/adapters/docx.ts (normalization to block-level only) | src/lib/adapters/normalize.ts (warning-oriented lossy mapping),10
ImportExport,io.docx_style_fidelity,DOCX style-fidelity roundtrip,Final Draft,partial,partial,incomplete,high,high,true,false,io.docx_basic_roundtrip,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/lib/adapters/docx.ts (normalization to block-level only) | src/lib/adapters/normalize.ts (warning-oriented lossy mapping),10
Budget,budget.variance_tracking,Estimate versus actual variance tracking,Celtx,supported,missing,missing,high,high,true,false,production.schedule_crud,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/types/screenplay.ts (BudgetItem has only category, description, amount) | src/App.tsx (budget module totals only)",10
Budget,budget.variance_tracking,Estimate versus actual variance tracking,Kit Scenarist,not_evident,missing,missing,high,high,true,false,production.schedule_crud,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/types/screenplay.ts (BudgetItem has only category, description, amount) | src/App.tsx (budget module totals only)",10
Budget,budget.variance_tracking,Estimate versus actual variance tracking,Final Draft,partial,missing,missing,high,high,true,false,production.schedule_crud,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,"src/types/screenplay.ts (BudgetItem has only category, description, amount) | src/App.tsx (budget module totals only)",10
Storyboard,storyboard.image_upload,Storyboard image upload and preview,Celtx,supported,missing,missing,high,high,true,false,storyboard.panel_crud,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,src/types/screenplay.ts (StoryboardPanel has no image field) | src/App.tsx (storyboard UI text fields only),10
Storyboard,storyboard.image_upload,Storyboard image upload and preview,Kit Scenarist,partial,missing,missing,high,high,true,false,storyboard.panel_crud,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,src/types/screenplay.ts (StoryboardPanel has no image field) | src/App.tsx (storyboard UI text fields only),10
Storyboard,storyboard.image_upload,Storyboard image upload and preview,Final Draft,supported,missing,missing,high,high,true,false,storyboard.panel_crud,https://www.finaldraft.com/; https://kb.finaldraft.com/; https://www.softwareadvice.com/screenwriting/final-draft-profile/,src/types/screenplay.ts (StoryboardPanel has no image field) | src/App.tsx (storyboard UI text fields only),10
Catalog,catalog.character_profiles,Character profiles with attributes,Celtx,supported,missing,missing,medium,high,true,false,catalog.auto_detection,https://www.celtx.com/scriptwriting/; https://www.celtx.com/pre-production/; https://support.celtx.com/hc/en-us; https://www.softwareadvice.com/screenwriting/celtx-profile/,"src/types/screenplay.ts (CatalogEntry has only kind, name, notes) | src/App.tsx (catalog table has no structured profile fields)",10
Catalog,catalog.character_profiles,Character profiles with attributes,Kit Scenarist,supported,missing,missing,medium,high,true,false,catalog.auto_detection,https://kitscenarist.ru/en/index.html; https://kitscenarist.ru/en/help/; https://kitscenarist.ru/en/history.html,"src/types/screenplay.ts (CatalogEntry has only kind, name, notes) | src/App.tsx (catalog table has no structured profile fields)",10
